id,chart_template_id/id,code,user_type_id/id,name,reconcile,group_id/id
l10n_uy.base_deudores_por_ventas,l10n_uy.l10n_uy_chart_template,1.2.1.1,account.data_account_type_receivable,Deudores por ventas,True,l10n_uy.account_group_deudores_varios
l10n_uy.base_adelanto_a_proveedores,l10n_uy.l10n_uy_chart_template,1.2.1.2,account.data_account_type_current_assets,Adelanto a Proveedores,False,l10n_uy.account_group_deudores_varios
l10n_uy.base_cuenta_de_socios,l10n_uy.l10n_uy_chart_template,1.2.2.1,account.data_account_type_current_assets,Cuenta de socios,False,l10n_uy.account_group_creditos_diversos
l10n_uy.base_iva_pagos,l10n_uy.l10n_uy_chart_template,1.2.2.4,account.data_account_type_current_assets,IVA PAGOS,True,l10n_uy.account_group_creditos_diversos
l10n_uy.base_irae_anticipo,l10n_uy.l10n_uy_chart_template,1.2.2.5,account.data_account_type_current_assets,IRAE ANTICIPO,False,l10n_uy.account_group_creditos_diversos
l10n_uy.base_ant_pat,l10n_uy.l10n_uy_chart_template,1.2.2.7,account.data_account_type_current_assets,ANT. PAT.,False,l10n_uy.account_group_creditos_diversos
l10n_uy.base_ant_icosa,l10n_uy.l10n_uy_chart_template,1.2.2.9,account.data_account_type_current_assets,Ant. ICOSA,False,l10n_uy.account_group_creditos_diversos
l10n_uy.base_iva_s_compras_22,l10n_uy.l10n_uy_chart_template,1.2.3.0,account.data_account_type_current_assets,I.V.A. s/ compras 22%,False,l10n_uy.account_group_exigible
l10n_uy.base_iva_s_compras_10,l10n_uy.l10n_uy_chart_template,1.2.3.1,account.data_account_type_current_assets,I.V.A. s/ compras 10%,False,l10n_uy.account_group_exigible
l10n_uy.base_ret_iva,l10n_uy.l10n_uy_chart_template,1.2.3.2,account.data_account_type_current_assets,Ret IVA,False,l10n_uy.account_group_exigible
l10n_uy.base_mercaderias_de_reventa,l10n_uy.l10n_uy_chart_template,1.3.1.1,account.data_account_type_current_assets,Mercaderias de Reventa,False,l10n_uy.account_group_bienes_de_cambio
l10n_uy.base_mercaderias_importadas,l10n_uy.l10n_uy_chart_template,1.3.1.2,account.data_account_type_current_assets,Mercaderias Importadas,False,l10n_uy.account_group_bienes_de_cambio
l10n_uy.base_productos_terminados,l10n_uy.l10n_uy_chart_template,1.3.1.3,account.data_account_type_current_assets,Productos terminados,False,l10n_uy.account_group_bienes_de_cambio
l10n_uy.base_materiales_varios,l10n_uy.l10n_uy_chart_template,1.3.1.4,account.data_account_type_current_assets,Materiales Varios,False,l10n_uy.account_group_bienes_de_cambio
l10n_uy.base_licencias_software,l10n_uy.l10n_uy_chart_template,1.3.1.5,account.data_account_type_current_assets,Licencias Software,False,l10n_uy.account_group_bienes_de_cambio
l10n_uy.base_productos_en_proceso,l10n_uy.l10n_uy_chart_template,1.3.2.1,account.data_account_type_current_assets,Productos en Proceso,False,l10n_uy.account_group_bienes_en_proceso
l10n_uy.base_materia_prima,l10n_uy.l10n_uy_chart_template,1.3.2.2,account.data_account_type_current_assets,Materia Prima,False,l10n_uy.account_group_bienes_en_proceso
l10n_uy.base_muebles_y_utiles,l10n_uy.l10n_uy_chart_template,1.4.1.1,account.data_account_type_fixed_assets,Muebles y Utiles,False,l10n_uy.account_group_bienes_de_uso
l10n_uy.base_inmuebles,l10n_uy.l10n_uy_chart_template,1.4.1.2,account.data_account_type_fixed_assets,Inmuebles,False,l10n_uy.account_group_bienes_de_uso
l10n_uy.base_equipos_informaticos,l10n_uy.l10n_uy_chart_template,1.4.1.3,account.data_account_type_fixed_assets,Equipos Informaticos,False,l10n_uy.account_group_bienes_de_uso
l10n_uy.base_vehiculos,l10n_uy.l10n_uy_chart_template,1.4.1.4,account.data_account_type_fixed_assets,Vehiculos,False,l10n_uy.account_group_bienes_de_uso
l10n_uy.base_mejoras,l10n_uy.l10n_uy_chart_template,1.4.1.5,account.data_account_type_fixed_assets,Mejoras,False,l10n_uy.account_group_bienes_de_uso
l10n_uy.base_software_licencias,l10n_uy.l10n_uy_chart_template,1.4.1.6,account.data_account_type_fixed_assets,Software Licencias,False,l10n_uy.account_group_bienes_de_uso
l10n_uy.base_amort_ac_mueb_y_utiles,l10n_uy.l10n_uy_chart_template,1.4.5.1,account.data_account_type_depreciation,Amort. Ac. Mueb. y Utiles,False,l10n_uy.account_group_amorttiz_acumuladas
l10n_uy.base_amort_ac_inmuebles,l10n_uy.l10n_uy_chart_template,1.4.5.2,account.data_account_type_depreciation,Amort. Ac. Inmuebles,False,l10n_uy.account_group_amorttiz_acumuladas
l10n_uy.base_amort_ac_eq_informatica,l10n_uy.l10n_uy_chart_template,1.4.5.3,account.data_account_type_depreciation,Amort. Ac. Eq. Informatica,False,l10n_uy.account_group_amorttiz_acumuladas
l10n_uy.base_amort_ac_vehiculo,l10n_uy.l10n_uy_chart_template,1.4.5.4,account.data_account_type_depreciation,Amort. Ac. Vehiculo,False,l10n_uy.account_group_amorttiz_acumuladas
l10n_uy.base_amort_ac_mejoras,l10n_uy.l10n_uy_chart_template,1.4.5.5,account.data_account_type_depreciation,Amort. Ac. Mejoras,False,l10n_uy.account_group_amorttiz_acumuladas
l10n_uy.base_amort_ac_software,l10n_uy.l10n_uy_chart_template,1.4.5.6,account.data_account_type_depreciation,Amort. Ac. Software,False,l10n_uy.account_group_amorttiz_acumuladas
l10n_uy.base_acreedores_varios,l10n_uy.l10n_uy_chart_template,2.1.1.1,account.data_account_type_payable,Acreedores varios,True,l10n_uy.account_group_deudas_comerciales
l10n_uy.base_acreedores_por_importacion,l10n_uy.l10n_uy_chart_template,2.1.1.2,account.data_account_type_payable,Acreedores por Importacion,True,l10n_uy.account_group_deudas_comerciales
l10n_uy.base_acreedores_por_che_dif,l10n_uy.l10n_uy_chart_template,2.1.1.3,account.data_account_type_current_liabilities,Acreedores por Che. Dif.,True,l10n_uy.account_group_deudas_comerciales
l10n_uy.base_adelantos_de_pago,l10n_uy.l10n_uy_chart_template,2.1.1.4,account.data_account_type_payable,Adelantos de Pago,True,l10n_uy.account_group_deudas_comerciales
l10n_uy.base_prestamos_bancarios,l10n_uy.l10n_uy_chart_template,2.1.2.1,account.data_account_type_current_liabilities,Prestamos Bancarios,False,l10n_uy.account_group_deudas_financieras
l10n_uy.base_prestamos_mda_extranj,l10n_uy.l10n_uy_chart_template,2.1.2.2,account.data_account_type_current_liabilities,Prestamos Mda. Extranj.,False,l10n_uy.account_group_deudas_financieras
l10n_uy.base_intereses_a_pagar,l10n_uy.l10n_uy_chart_template,2.1.2.3,account.data_account_type_current_liabilities,Intereses a Pagar,False,l10n_uy.account_group_deudas_financieras
l10n_uy.base_intereses_mda_extranj,l10n_uy.l10n_uy_chart_template,2.1.2.4,account.data_account_type_current_liabilities,Intereses Mda. Extranj.,False,l10n_uy.account_group_deudas_financieras
l10n_uy.base_intereses_a_vencer,l10n_uy.l10n_uy_chart_template,2.1.2.5,account.data_account_type_current_liabilities,Intereses a Vencer,False,l10n_uy.account_group_deudas_financieras
l10n_uy.base_doc_a_pagar,l10n_uy.l10n_uy_chart_template,2.1.2.6,account.data_account_type_current_liabilities,Doc a Pagar,False,l10n_uy.account_group_deudas_financieras
l10n_uy.base_seguros_a_pagar,l10n_uy.l10n_uy_chart_template,2.1.2.7,account.data_account_type_payable,Seguros a Pagar,True,l10n_uy.account_group_deudas_financieras
l10n_uy.base_bps_a_pagar,l10n_uy.l10n_uy_chart_template,2.1.2.8,account.data_account_type_payable,B.P.S a Pagar,True,l10n_uy.account_group_deudas_financieras
l10n_uy.base_anticipo_icosa_a_pagar,l10n_uy.l10n_uy_chart_template,2.1.3.1,account.data_account_type_payable,Anticipo ICOSA a Pagar,True,l10n_uy.account_group_deudas_diversas
l10n_uy.base_cta_director_sdo_ac,l10n_uy.l10n_uy_chart_template,2.1.3.2,account.data_account_type_current_liabilities,Cta. Director Sdo. Ac,False,l10n_uy.account_group_deudas_diversas
l10n_uy.base_cofis_vtas_tm,l10n_uy.l10n_uy_chart_template,2.1.3.3,account.data_account_type_current_liabilities,COFIS VTAS T.M,False,l10n_uy.account_group_deudas_diversas
l10n_uy.base_cofis_vtas_tb,l10n_uy.l10n_uy_chart_template,2.1.3.4,account.data_account_type_current_liabilities,COFIS VTAS T.B,False,l10n_uy.account_group_deudas_diversas
