id,chart_template_id/id,code,account_type,name,reconcile
l10n_uy_account.base_deudores_por_ventas,l10n_uy_account.l10n_uy_chart_template,1.2.1.1,asset_receivable,Deudores por ventas,True
l10n_uy_account.base_adelanto_a_proveedores,l10n_uy_account.l10n_uy_chart_template,1.2.1.2,asset_current,Adelanto a Proveedores,False
l10n_uy_account.base_deudores_por_ventas_pos,l10n_uy_account.l10n_uy_chart_template,1.2.1.3,asset_receivable,Deudores por ventas (PoS),True
l10n_uy_account.base_cuenta_de_socios,l10n_uy_account.l10n_uy_chart_template,1.2.2.1,asset_current,Cuenta de socios,False
l10n_uy_account.base_iva_pagos,l10n_uy_account.l10n_uy_chart_template,1.2.2.4,asset_current,IVA PAGOS,True
l10n_uy_account.base_irae_anticipo,l10n_uy_account.l10n_uy_chart_template,1.2.2.5,asset_current,IRAE ANTICIPO,False
l10n_uy_account.base_ant_pat,l10n_uy_account.l10n_uy_chart_template,1.2.2.7,asset_current,ANT. PAT.,False
l10n_uy_account.base_ant_icosa,l10n_uy_account.l10n_uy_chart_template,1.2.2.9,asset_current,Ant. ICOSA,False
l10n_uy_account.base_iva_s_compras_22,l10n_uy_account.l10n_uy_chart_template,1.2.3.0,asset_current,I.V.A. s/ compras 22%,False
l10n_uy_account.base_iva_s_compras_10,l10n_uy_account.l10n_uy_chart_template,1.2.3.1,asset_current,I.V.A. s/ compras 10%,False
l10n_uy_account.base_ret_iva,l10n_uy_account.l10n_uy_chart_template,1.2.3.2,asset_current,Ret IVA,False
l10n_uy_account.base_mercaderias_de_reventa,l10n_uy_account.l10n_uy_chart_template,1.3.1.1,asset_current,Mercaderias de Reventa,False
l10n_uy_account.base_mercaderias_importadas,l10n_uy_account.l10n_uy_chart_template,1.3.1.2,asset_current,Mercaderias Importadas,False
l10n_uy_account.base_productos_terminados,l10n_uy_account.l10n_uy_chart_template,1.3.1.3,asset_current,Productos terminados,False
l10n_uy_account.base_materiales_varios,l10n_uy_account.l10n_uy_chart_template,1.3.1.4,asset_current,Materiales Varios,False
l10n_uy_account.base_licencias_software,l10n_uy_account.l10n_uy_chart_template,1.3.1.5,asset_current,Licencias Software,False
l10n_uy_account.base_productos_en_proceso,l10n_uy_account.l10n_uy_chart_template,1.3.2.1,asset_current,Productos en Proceso,False
l10n_uy_account.base_materia_prima,l10n_uy_account.l10n_uy_chart_template,1.3.2.2,asset_current,Materia Prima,False
l10n_uy_account.base_muebles_y_utiles,l10n_uy_account.l10n_uy_chart_template,1.4.1.1,asset_fixed,Muebles y Utiles,False
l10n_uy_account.base_inmuebles,l10n_uy_account.l10n_uy_chart_template,1.4.1.2,asset_fixed,Inmuebles,False
l10n_uy_account.base_equipos_informaticos,l10n_uy_account.l10n_uy_chart_template,1.4.1.3,asset_fixed,Equipos Informaticos,False
l10n_uy_account.base_vehiculos,l10n_uy_account.l10n_uy_chart_template,1.4.1.4,asset_fixed,Vehiculos,False
l10n_uy_account.base_mejoras,l10n_uy_account.l10n_uy_chart_template,1.4.1.5,asset_fixed,Mejoras,False
l10n_uy_account.base_software_licencias,l10n_uy_account.l10n_uy_chart_template,1.4.1.6,asset_fixed,Software Licencias,False
l10n_uy_account.base_amort_ac_mueb_y_utiles,l10n_uy_account.l10n_uy_chart_template,1.4.5.1,expense_depreciation,Amort. Ac. Mueb. y Utiles,False
l10n_uy_account.base_amort_ac_inmuebles,l10n_uy_account.l10n_uy_chart_template,1.4.5.2,expense_depreciation,Amort. Ac. Inmuebles,False
l10n_uy_account.base_amort_ac_eq_informatica,l10n_uy_account.l10n_uy_chart_template,1.4.5.3,expense_depreciation,Amort. Ac. Eq. Informatica,False
l10n_uy_account.base_amort_ac_vehiculo,l10n_uy_account.l10n_uy_chart_template,1.4.5.4,expense_depreciation,Amort. Ac. Vehiculo,False
l10n_uy_account.base_amort_ac_mejoras,l10n_uy_account.l10n_uy_chart_template,1.4.5.5,expense_depreciation,Amort. Ac. Mejoras,False
l10n_uy_account.base_amort_ac_software,l10n_uy_account.l10n_uy_chart_template,1.4.5.6,expense_depreciation,Amort. Ac. Software,False
l10n_uy_account.base_acreedores_varios,l10n_uy_account.l10n_uy_chart_template,2.1.1.1,liability_payable,Acreedores varios,True
l10n_uy_account.base_acreedores_por_importacion,l10n_uy_account.l10n_uy_chart_template,2.1.1.2,liability_payable,Acreedores por Importacion,True
l10n_uy_account.base_acreedores_por_che_dif,l10n_uy_account.l10n_uy_chart_template,2.1.1.3,liability_current,Acreedores por Che. Dif.,True
l10n_uy_account.base_adelantos_de_pago,l10n_uy_account.l10n_uy_chart_template,2.1.1.4,liability_payable,Adelantos de Pago,True
l10n_uy_account.base_prestamos_bancarios,l10n_uy_account.l10n_uy_chart_template,2.1.2.1,liability_current,Prestamos Bancarios,False
l10n_uy_account.base_prestamos_mda_extranj,l10n_uy_account.l10n_uy_chart_template,2.1.2.2,liability_current,Prestamos Mda. Extranj.,False
l10n_uy_account.base_intereses_a_pagar,l10n_uy_account.l10n_uy_chart_template,2.1.2.3,liability_current,Intereses a Pagar,False
l10n_uy_account.base_intereses_mda_extranj,l10n_uy_account.l10n_uy_chart_template,2.1.2.4,liability_current,Intereses Mda. Extranj.,False
l10n_uy_account.base_intereses_a_vencer,l10n_uy_account.l10n_uy_chart_template,2.1.2.5,liability_current,Intereses a Vencer,False
l10n_uy_account.base_doc_a_pagar,l10n_uy_account.l10n_uy_chart_template,2.1.2.6,liability_current,Doc a Pagar,False
l10n_uy_account.base_seguros_a_pagar,l10n_uy_account.l10n_uy_chart_template,2.1.2.7,liability_payable,Seguros a Pagar,True
l10n_uy_account.base_bps_a_pagar,l10n_uy_account.l10n_uy_chart_template,2.1.2.8,liability_payable,B.P.S a Pagar,True
l10n_uy_account.base_anticipo_icosa_a_pagar,l10n_uy_account.l10n_uy_chart_template,2.1.3.1,liability_payable,Anticipo ICOSA a Pagar,True
l10n_uy_account.base_cta_director_sdo_ac,l10n_uy_account.l10n_uy_chart_template,2.1.3.2,liability_current,Cta. Director Sdo. Ac,False
