id,form,code,name,retention
tax_code_2181_1,2181,1,IVA Compras de Importacion,
tax_code_2181_2,2181,2,IVA Retenido Personas Exterior,
tax_code_2181_3,2181,3,IVA Autoconsumo,
tax_code_2181_10,2181,10,Compras plaza a territorio no franco,
tax_code_2181_11,2181,11,Compras plaza a usuarios Zona Franca,
tax_code_2181_12,2181,12,Compras al exterior,
tax_code_2181_20,2181,20,Ventas plaza a territorio no franco,
tax_code_2181_21,2181,21,Ventas plaza a zona franca (Usuarios y Otros),
tax_code_2181_22,2181,22,Ventas al exterior,
tax_code_2181_30,2181,30,Faena de aves-Pago a cta. IVA/COFIS 1º 10 dias,
tax_code_2181_31,2181,31,Faena de aves-Pago a cta. Percepciones 1º 10 dias,
tax_code_2181_32,2181,32,Faena de aves-Pago a cta. IVA/COFIS 2º 10 dias,
tax_code_2181_33,2181,33,Faena de aves-Pago a cta. percepciones 2º 10 dias,
tax_code_2181_34,2181,34,Faena de aves-Pago a cta. IVA/COFIS 3º 10 dias,
tax_code_2181_35,2181,35,Faena de aves-Pago a cta. percepciones 3º 10 dias,
tax_code_2181_401,2181,401,IVA Compras de Proveedores,
tax_code_2181_402,2181,402,Retenciones y/o Percep. Deducidas IVA-OTT,
tax_code_2181_403,2181,403,Retenciones y/o Percep. Deducidas IRAE- IMP. PAT.,
tax_code_2181_404,2181,404,Retenciones y/o Percep. Deducidas IMP. COMISIONES,
tax_code_2181_410,2181,410,Reducción Alícuota Ley 17934(5 puntos)- Reg. Gral.,
tax_code_2181_502,2181,502,IVA Ventas Tasa Básica a Contribuyentes,
tax_code_2181_503,2181,503,IVA Ventas Tasa Mínima a Contribuyentes,
tax_code_2181_504,2181,504,Compras Plaza Exentas de IVA,
tax_code_2181_505,2181,505,IVA Compras Plaza Tasa Basica,
tax_code_2181_506,2181,506,IVA Compras Plaza Tasa Minima,
tax_code_2181_507,2181,507,IVA Ventas tasa 10% a Contribuyentes,
tax_code_2181_508,2181,508,IVA Compras Plaza Tasa 10%.,
tax_code_2181_510,2181,510,Monotributo - Ventas tarjetas de crédito,
tax_code_2181_601,2181,601,Compras plaza - Proveedores con RUC,
tax_code_2181_602,2181,602,Ventas plaza - Clientes con RUC,
tax_code_2181_405,2181,405,Retenciones y/o Percep. Deducidas IMEBA,
tax_code_2181_406,2181,406,Retenciones y/o Percep. Deducidas IRPF,
tax_code_2181_509,2181,509,IVA Ventas - Bancos,
tax_code_2181_13,2181,13,IVA compras combustible,
tax_code_2181_511,2181,511,Proveedores de servicios de depósito - Dto 331/09,
tax_code_2181_512,2181,512,Proveedores de servicio de frío - Dto. 331/009,
tax_code_2181_513,2181,513,Compras a Cont. Monotributo(Res.549/11-Dec.220/12),
tax_code_2181_450,2181,450,IVA - Importación de Explosivos,
tax_code_2181_451,2181,451,Anticipo IVA - Importación de Explosivos,
tax_code_2181_411,2181,411,Reducción Alícuota Art.5 Dec.288/012,
