id,code,name,internal_type,doc_code_prefix,country_id/id
dc_inv,0,FACTURA,invoice,FA,base.uy
dc_boleta_venta_contado,0,BOLETA,invoice,BO,base.uy
dc_cn_inv,0,NOTA DE CREDITO,credit_note,NC,base.uy
dc_dn_inv,0,NOTA DE DEBITO,debit_note,ND,base.uy
dc_recibo_cobranza,0,RECIBO COBRANZA,invoice,RC,base.uy
dc_inv_expo,0,FACTURA EXPORTACION,invoice,FAE,base.uy
dc_nc_expo,0,NOTA DE CREDITO DE EXPORTACION,credit_note,NCE,base.uy
dc_nd_expo,0,NOTA DE DEBITO DE EXPORTACION,debit_note,NDE,base.uy
dc_remito,0,REMITO,stock_picking,REM,base.uy
dc_e_ticket,101,E-TICKET,invoice,E-Ticket,base.uy
dc_cn_e_ticket,102,NOTA DE CREDITO DE E-TICKET,credit_note,NC e-Ticket,base.uy
dc_dn_e_ticket,103,NOTA DE DEBITO DE E-TICKET,debit_note,ND e-Ticket,base.uy
dc_e_inv,111,E-FACTURA,invoice,E-Factura,base.uy
dc_cn_e_inv,112,NOTA DE CREDITO DE E-FACTURA,credit_note,NC e-Factura,base.uy
dc_dn_e_inv,113,NOTA DE DEBITO DE E-FACTURA,debit_note,ND e-Factura,base.uy
dc_e_inv_exp,121,E-FACTURA EXPORTACION,invoice,e-Fact.Exp,base.uy
dc_cn_e_inv_exp,122,NOTA DE CREDITO DE E-FACTURA EXPORTACION,credit_note,NC e-Fact.Exp,base.uy
dc_dn_e_inv_exp,123,NOTA DE DEBITO DE E-FACTURA EXPORTACION,debit_note,ND e-Fact.Exp,base.uy
dc_e_remito_expo,124,E-REMITO EXPORTACION,stock_picking,e-Rem.Exp,base.uy
dc_e_ticket_venta_por_cuenta_ajena,131,e-Ticket Venta por Cuenta Ajena,invoice,e-Tic.Cta.Aj.,base.uy
dc_nota_de_credito_e_ticket_venta_por_cuenta_ajena,132,Nota de credito e-Ticket Venta por Cuenta Ajena,credit_note,NC e-Tic.Cta.Aj.,base.uy
dc_nota_de_debito_e_ticket_venta_por_cuenta_ajena,133,Nota de debito e-Ticket Venta por Cuenta Ajena,debit_note,ND e-Tic.Cta.Aj.,base.uy
dc_e_factura_venta_por_cuenta_ajena,141,e-Factura Venta por Cuenta Ajena,invoice,e-Fac.Cta.Aj.,base.uy
dc_nota_de_credito_e_factura_venta_por_cuenta_ajena,142,Nota de credito e-Factura Venta por Cuenta Ajena,credit_note,NC e-Fac.Cta.Aj.,base.uy
dc_nota_de_debito_e_factura_venta_por_cuenta_ajena,143,Nota de debito e-Factura Venta por Cuenta Ajena,debit_note,ND e-Fac.Cta.Aj.,base.uy
dc_e_boleta_de_entrada,151,e-Boleta de entrada,invoice,e-Boleta-entrada,base.uy
dc_cn_e_boleta_de_entrada,152,Nota de crédito de e-Boleta de entrada,credit_note,NC e-Boleta-entrada,base.uy
